,Temperature,Frequency
0,25.0,2016-08-23
1,25.0,2016-08-24
2,26.7,2016-08-25
3,26.7,2016-08-26
4,23.9,2016-08-27
5,22.8,2016-08-28
6,25.6,2016-08-29
7,25.0,2016-08-30
8,25.6,2016-08-31
9,26.7,2016-09-01
10,26.7,2016-09-02
11,25.6,2016-09-03
12,25.6,2016-09-04
13,25.6,2016-09-05
14,22.8,2016-09-06
15,23.3,2016-09-07
16,26.7,2016-09-08
17,26.1,2016-09-09
18,25.0,2016-09-10
19,26.7,2016-09-11
20,24.4,2016-09-12
21,26.1,2016-09-13
22,23.9,2016-09-14
23,26.1,2016-09-15
24,25.6,2016-09-16
25,26.1,2016-09-17
26,25.6,2016-09-18
27,25.6,2016-09-19
28,24.4,2016-09-20
29,23.3,2016-09-21
30,25.0,2016-09-22
31,25.6,2016-09-23
32,26.1,2016-09-24
33,26.1,2016-09-25
34,25.0,2016-09-26
35,26.7,2016-09-27
36,25.6,2016-09-28
37,25.6,2016-09-29
38,25.6,2016-09-30
39,25.0,2016-10-01
40,26.1,2016-10-02
41,26.1,2016-10-03
42,26.1,2016-10-04
43,26.1,2016-10-05
44,23.9,2016-10-06
45,24.4,2016-10-07
46,22.8,2016-10-08
47,22.2,2016-10-09
48,21.7,2016-10-10
49,25.0,2016-10-11
50,26.1,2016-10-12
51,25.6,2016-10-13
52,26.1,2016-10-14
53,25.0,2016-10-15
54,26.1,2016-10-16
55,25.0,2016-10-17
56,25.6,2016-10-18
57,25.6,2016-10-19
58,25.6,2016-10-20
59,25.6,2016-10-21
60,25.0,2016-10-22
61,23.3,2016-10-23
62,23.9,2016-10-24
63,24.4,2016-10-25
64,22.8,2016-10-26
65,24.4,2016-10-27
66,23.3,2016-10-28
67,25.0,2016-10-29
68,24.4,2016-10-30
69,24.4,2016-10-31
70,23.3,2016-11-01
71,23.9,2016-11-02
72,23.9,2016-11-03
73,23.9,2016-11-04
74,23.9,2016-11-05
75,21.7,2016-11-06
76,17.2,2016-11-07
77,21.1,2016-11-08
78,20.0,2016-11-09
79,19.4,2016-11-10
80,25.0,2016-11-11
81,23.3,2016-11-12
82,25.0,2016-11-13
83,24.4,2016-11-14
84,24.4,2016-11-15
85,23.9,2016-11-16
86,24.4,2016-11-17
87,23.9,2016-11-18
88,22.8,2016-11-19
89,23.9,2016-11-20
90,22.8,2016-11-21
91,23.9,2016-11-22
92,23.3,2016-11-23
93,23.9,2016-11-24
94,23.3,2016-11-25
95,23.9,2016-11-26
96,22.8,2016-11-27
97,23.9,2016-11-28
98,22.8,2016-11-29
99,22.8,2016-11-30
100,23.3,2016-12-01
101,21.1,2016-12-02
102,22.2,2016-12-03
103,21.1,2016-12-04
104,19.4,2016-12-05
105,19.4,2016-12-06
106,20.6,2016-12-07
107,21.1,2016-12-08
108,20.0,2016-12-09
109,20.6,2016-12-10
110,20.6,2016-12-11
111,18.9,2016-12-12
112,18.3,2016-12-13
113,20.0,2016-12-14
114,16.7,2016-12-15
115,23.9,2016-12-16
116,21.1,2016-12-17
117,20.6,2016-12-18
118,24.4,2016-12-19
119,24.4,2016-12-20
120,23.3,2016-12-21
121,22.8,2016-12-22
122,21.7,2016-12-23
123,23.3,2016-12-24
124,23.3,2016-12-25
125,22.2,2016-12-26
126,21.7,2016-12-27
127,22.2,2016-12-28
128,23.3,2016-12-29
129,20.6,2016-12-30
130,19.4,2016-12-31
131,22.2,2017-01-01
132,21.1,2017-01-02
133,17.8,2017-01-03
134,17.2,2017-01-04
135,17.2,2017-01-05
136,16.7,2017-01-06
137,21.1,2017-01-07
138,21.1,2017-01-08
139,16.7,2017-01-09
140,16.7,2017-01-10
141,17.2,2017-01-11
142,18.3,2017-01-12
143,20.6,2017-01-13
144,25.0,2017-01-14
145,21.1,2017-01-15
146,23.3,2017-01-16
147,20.6,2017-01-17
148,22.2,2017-01-18
149,21.7,2017-01-19
150,20.6,2017-01-20
151,21.7,2017-01-21
152,21.7,2017-01-22
153,22.2,2017-01-23
154,22.2,2017-01-24
155,20.6,2017-01-25
156,21.1,2017-01-26
157,18.9,2017-01-27
158,18.3,2017-01-28
159,20.6,2017-01-29
160,20.0,2017-01-30
161,20.0,2017-01-31
162,20.0,2017-02-01
163,15.0,2017-02-02
164,15.6,2017-02-03
165,21.1,2017-02-04
166,22.8,2017-02-05
167,23.9,2017-02-06
168,17.8,2017-02-07
169,15.0,2017-02-08
170,15.0,2017-02-09
171,16.7,2017-02-10
172,20.0,2017-02-11
173,21.1,2017-02-12
174,22.8,2017-02-13
175,26.1,2017-02-14
176,23.9,2017-02-15
177,18.3,2017-02-16
178,21.1,2017-02-17
179,23.3,2017-02-18
180,21.1,2017-02-19
181,21.1,2017-02-20
182,21.7,2017-02-21
183,21.7,2017-02-22
184,21.7,2017-02-23
185,20.6,2017-02-24
186,16.1,2017-02-25
187,19.4,2017-02-26
188,18.3,2017-02-27
189,22.2,2017-02-28
190,21.7,2017-03-01
191,22.8,2017-03-02
192,22.2,2017-03-03
193,25.0,2017-03-04
194,22.8,2017-03-05
195,19.4,2017-03-06
196,16.7,2017-03-07
197,17.8,2017-03-08
198,19.4,2017-03-09
199,18.9,2017-03-10
200,27.2,2017-03-11
201,20.6,2017-03-12
202,18.9,2017-03-13
203,19.4,2017-03-14
204,20.6,2017-03-15
205,18.9,2017-03-16
206,20.0,2017-03-17
207,18.3,2017-03-18
208,23.3,2017-03-19
209,20.6,2017-03-20
210,22.2,2017-03-21
211,22.8,2017-03-22
212,22.2,2017-03-23
213,21.7,2017-03-24
214,24.4,2017-03-25
215,25.0,2017-03-26
216,24.4,2017-03-27
217,23.3,2017-03-28
218,20.0,2017-03-29
219,22.8,2017-03-30
220,21.7,2017-03-31
221,23.3,2017-04-01
222,23.9,2017-04-02
223,21.1,2017-04-03
224,19.4,2017-04-04
225,21.7,2017-04-05
226,19.4,2017-04-06
227,23.3,2017-04-07
228,25.0,2017-04-08
229,25.6,2017-04-09
230,19.4,2017-04-10
231,21.1,2017-04-11
232,20.6,2017-04-12
233,20.6,2017-04-13
234,23.3,2017-04-14
235,25.6,2017-04-15
236,21.7,2017-04-16
237,19.4,2017-04-17
238,20.0,2017-04-18
239,19.4,2017-04-19
240,24.4,2017-04-20
241,20.6,2017-04-21
242,22.2,2017-04-22
243,24.4,2017-04-23
244,20.0,2017-04-24
245,22.2,2017-04-25
246,23.3,2017-04-26
247,21.1,2017-04-27
248,19.4,2017-04-28
249,22.2,2017-04-29
250,15.6,2017-04-30
251,18.3,2017-05-01
252,23.9,2017-05-02
253,21.1,2017-05-03
254,23.9,2017-05-04
255,21.1,2017-05-05
256,26.1,2017-05-06
257,23.9,2017-05-07
258,21.1,2017-05-08
259,19.4,2017-05-09
260,23.3,2017-05-10
261,21.1,2017-05-11
262,23.9,2017-05-12
263,24.4,2017-05-13
264,25.0,2017-05-14
265,23.3,2017-05-15
266,23.3,2017-05-16
267,23.3,2017-05-17
268,20.6,2017-05-18
269,20.0,2017-05-19
270,24.4,2017-05-20
271,23.3,2017-05-21
272,21.7,2017-05-22
273,21.7,2017-05-23
274,23.3,2017-05-24
275,23.3,2017-05-25
276,23.3,2017-05-26
277,23.3,2017-05-27
278,26.7,2017-05-28
279,23.3,2017-05-29
280,22.2,2017-05-30
281,23.9,2017-05-31
282,26.7,2017-06-01
283,24.4,2017-06-02
284,24.4,2017-06-03
285,25.0,2017-06-04
286,23.9,2017-06-05
287,23.9,2017-06-06
288,23.9,2017-06-07
289,23.9,2017-06-08
290,22.2,2017-06-09
291,23.3,2017-06-10
292,23.3,2017-06-11
293,23.3,2017-06-12
294,24.4,2017-06-13
295,23.3,2017-06-14
296,23.9,2017-06-15
297,22.8,2017-06-16
298,26.1,2017-06-17
299,23.9,2017-06-18
300,22.2,2017-06-19
301,22.2,2017-06-20
302,23.3,2017-06-21
303,22.2,2017-06-22
304,22.2,2017-06-23
305,25.0,2017-06-24
306,21.7,2017-06-25
307,22.8,2017-06-26
308,24.4,2017-06-27
309,25.0,2017-06-28
310,24.4,2017-06-29
311,24.4,2017-06-30
312,26.1,2017-07-01
313,27.2,2017-07-02
314,24.4,2017-07-03
315,25.6,2017-07-04
316,25.0,2017-07-05
317,23.3,2017-07-06
318,23.9,2017-07-07
319,25.6,2017-07-08
320,25.6,2017-07-09
321,20.6,2017-07-10
322,22.2,2017-07-11
323,23.3,2017-07-12
324,23.3,2017-07-13
325,24.4,2017-07-14
326,26.7,2017-07-15
327,26.7,2017-07-16
328,24.4,2017-07-17
329,24.4,2017-07-18
330,24.4,2017-07-19
331,25.0,2017-07-20
332,25.0,2017-07-21
333,25.0,2017-07-22
334,27.8,2017-07-23
335,23.9,2017-07-24
336,25.0,2017-07-25
337,23.9,2017-07-26
338,24.4,2017-07-27
339,27.2,2017-07-28
340,27.8,2017-07-29
341,27.2,2017-07-30
342,24.4,2017-07-31
343,25.0,2017-08-04
344,27.8,2017-08-05
345,28.3,2017-08-06
346,25.0,2017-08-13
347,25.0,2017-08-14
348,25.0,2017-08-15
349,24.4,2017-08-16
350,24.4,2017-08-17
351,26.1,2017-08-18
